<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus Gold Com.ETF,20240924, 296500.00, 300800.00, 294150.00, 299034.00,4380584296530.00, 14649132,14587,D,294086.00,299084.00
Lotus Gold Com.ETF,20240923, 292650.00, 295580.00, 291800.00, 294086.00,2498724085404.00, 8496578,11177,D,291907.00,294549.00
Lotus Gold Com.ETF,20240922, 291080.00, 292426.00, 291080.00, 291907.00,1980650823752.00, 6785223,9712,D,287716.00,292300.00
Lotus Gold Com.ETF,20240918, 286101.00, 289450.00, 286101.00, 287716.00,2826793493797.00, 9824943,7349,D,285542.00,287999.00
Lotus Gold Com.ETF,20240917, 284411.00, 285949.00, 284400.00, 285542.00,1162423715900.00, 4070940,5900,D,283511.00,285675.00
Lotus Gold Com.ETF,20240916, 282500.00, 284430.00, 282500.00, 283511.00,991193950272.00, 3496145,4913,D,282784.00,284130.00
Lotus Gold Com.ETF,20240915, 282222.00, 283500.00, 281900.00, 282784.00,1292169382524.00, 4569449,6773,D,284401.00,282410.00
Lotus Gold Com.ETF,20240914, 284000.00, 284978.00, 283470.00, 284401.00,2288347556285.00, 8046212,8630,D,281263.00,284554.00
Lotus Gold Com.ETF,20240911, 281011.00, 281509.00, 280510.00, 281263.00,1073734401164.00, 3817545,5118,D,279812.00,281293.00
Lotus Gold Com.ETF,20240910, 279945.00, 280200.00, 279042.00, 279812.00,828178328068.00, 2959765,4284,D,279336.00,280000.00
Lotus Gold Com.ETF,20240909, 278900.00, 280280.00, 277790.00, 279336.00,1249293935268.00, 4472372,5429,D,278517.00,280196.00
Lotus Gold Com.ETF,20240908, 279850.00, 279850.00, 277800.00, 278517.00,1024677804761.00, 3679051,7559,D,279737.00,278820.00
Lotus Gold Com.ETF,20240907, 281998.00, 281998.00, 278500.00, 279737.00,1347897817132.00, 4818442,7855,D,281794.00,279390.00
Lotus Gold Com.ETF,20240903, 280385.00, 282509.00, 280385.00, 281794.00,913509643609.00, 3241763,6381,D,280770.00,282201.00
Lotus Gold Com.ETF,20240901, 280850.00, 281509.00, 280000.00, 280770.00,1352222596254.00, 4816118,7865,D,279785.00,280799.00
Lotus Gold Com.ETF,20240831, 280210.00, 280600.00, 279100.00, 279785.00,1649566079009.00, 5895828,8438,D,278842.00,279969.00
Lotus Gold Com.ETF,20240828, 278111.00, 279500.00, 277850.00, 278842.00,1240041165352.00, 4447107,6151,D,278259.00,279050.00
Lotus Gold Com.ETF,20240827, 277995.00, 278849.00, 277066.00, 278259.00,2950610917090.00, 10603818,8292,D,279895.00,277330.00
Lotus Gold Com.ETF,20240826, 282890.00, 282890.00, 279004.00, 279895.00,1765898796089.00, 6309146,10511,D,276131.00,279300.00
Lotus Gold Com.ETF,20240824, 276283.00, 276800.00, 275575.00, 276131.00,1539302135666.00, 5574526,8718,D,275408.00,276599.00
Lotus Gold Com.ETF,20240821, 275498.00, 276390.00, 274000.00, 275408.00,1191758359110.00, 4327244,6770,D,276391.00,275550.00
Lotus Gold Com.ETF,20240820, 277500.00, 278100.00, 275035.00, 276391.00,1231338826786.00, 4455053,7337,D,275746.00,275400.00
Lotus Gold Com.ETF,20240819, 275000.00, 276395.00, 275000.00, 275746.00,1673461699882.00, 6068842,7300,D,270622.00,275160.00
Lotus Gold Com.ETF,20240818, 271300.00, 271977.00, 269790.00, 270622.00,1331751500835.00, 4921081,8653,D,271199.00,270977.00
Lotus Gold Com.ETF,20240817, 272000.00, 272248.00, 269688.00, 271199.00,1034618520908.00, 3814975,7012,D,271763.00,271643.00
Lotus Gold Com.ETF,20240814, 270127.00, 273100.00, 270100.00, 271763.00,967950414999.00, 3561751,5966,D,272729.00,272570.00
Lotus Gold Com.ETF,20240813, 273966.00, 273966.00, 272251.00, 272729.00,1220234791080.00, 4474170,7287,D,274470.00,272442.00
Lotus Gold Com.ETF,20240812, 272600.00, 276097.00, 272600.00, 274470.00,1661800384901.00, 6054577,7533,D,270641.00,275502.00
Lotus Gold Com.ETF,20240811, 273000.00, 273000.00, 269800.00, 270641.00,1234714331280.00, 4562190,8432,D,275712.00,271062.00
Lotus Gold Com.ETF,20240810, 277710.00, 277860.00, 274900.00, 275712.00,1643965583898.00, 5962613,10265,D,282559.00,275351.00
Lotus Gold Com.ETF,20240807, 0.00, 0.00, 0.00, 282559.00,0.00, 0,0,D,282559.00,283100.00
Lotus Gold Com.ETF,20240806, 282700.00, 283100.00, 281680.00, 282559.00,1114771186803.00, 3945266,6119,D,280979.00,283100.00
Lotus Gold Com.ETF,20240805, 281000.00, 281894.00, 279000.00, 280979.00,2177609107788.00, 7750073,7929,D,280395.00,281678.00
Lotus Gold Com.ETF,20240804, 285000.00, 285000.00, 278965.00, 280395.00,2494512604468.00, 8896410,11184,D,285422.00,280360.00
Lotus Gold Com.ETF,20240803, 283110.00, 287632.00, 283110.00, 285422.00,3402214604519.00, 11919926,13285,D,278987.00,287000.00
Lotus Gold Com.ETF,20240731, 279390.00, 282000.00, 276658.00, 278987.00,2999611593415.00, 10751811,12478,D,272675.00,277490.00
Lotus Gold Com.ETF,20240730, 275002.00, 275240.00, 271400.00, 272675.00,1391921120900.00, 5104680,7708,D,270631.00,271703.00
Lotus Gold Com.ETF,20240729, 268220.00, 272700.00, 268220.00, 270631.00,1630572886120.00, 6025078,8832,D,265861.00,272600.00
Lotus Gold Com.ETF,20240727, 266000.00, 266490.00, 265002.00, 265861.00,1132785357499.00, 4260821,5557,D,264814.00,266482.00
Lotus Gold Com.ETF,20240724, 265300.00, 265990.00, 263981.00, 264814.00,786908217640.00, 2971546,6431,D,263842.00,264200.00
Lotus Gold Com.ETF,20240723, 263000.00, 265000.00, 263000.00, 263842.00,889818052600.00, 3372536,5645,D,260718.00,264809.00
Lotus Gold Com.ETF,20240722, 260010.00, 261360.00, 259500.00, 260718.00,936067375995.00, 3590347,4293,D,261083.00,261001.00
